,precision,recall,f1-score,support
中港澳,0.0,0.0,0.0,2.0
公共政策,0.0,0.0,0.0,2.0
品味生活,0.5714285714285714,0.8,0.6666666666666666,10.0
國內,0.6296296296296297,0.6071428571428571,0.6181818181818182,28.0
國際,0.9122807017543859,0.9454545454545454,0.9285714285714286,110.0
政治,0.960431654676259,0.978021978021978,0.969147005444646,273.0
評論,0.9931506849315068,1.0,0.9965635738831615,145.0
財經,0.3333333333333333,0.21739130434782608,0.2631578947368421,23.0
風生活,0.9653465346534653,0.9637561779242174,0.964550700741962,607.0
accuracy,0.9425,0.9425,0.9425,0.9425
macro avg,0.5961779011563502,0.6124185403212693,0.6007598986918361,1200.0
weighted avg,0.9362762473165877,0.9425,0.9389436436228167,1200.0
