,precision,recall,f1-score,support
中港澳,0.0,0.0,0.0,2.0
公共政策,0.0,0.0,0.0,2.0
品味生活,0.75,0.6,0.6666666666666666,10.0
國內,0.5769230769230769,0.5357142857142857,0.5555555555555556,28.0
國際,0.9051724137931034,0.9545454545454546,0.9292035398230089,110.0
政治,0.9368421052631579,0.978021978021978,0.956989247311828,273.0
評論,0.9931506849315068,1.0,0.9965635738831615,145.0
財經,0.3333333333333333,0.13043478260869565,0.1875,23.0
風生活,0.9606557377049181,0.9654036243822076,0.9630238290879212,607.0
accuracy,0.9391666666666667,0.9391666666666667,0.9391666666666667,0.9391666666666667
macro avg,0.6062308168832329,0.5737911250302914,0.5839447124809046,1200.0
weighted avg,0.9281435459804583,0.9391666666666667,0.9325519654902572,1200.0
