label,roberta_f1,chinese_f1,bert_f1
中港澳,0.0,0.0,0.0
公共政策,0.0,0.0,0.0
品味生活,0.4705882352941176,0.6666666666666666,0.6666666666666666
國內,0.5964912280701754,0.5555555555555556,0.6181818181818182
國際,0.8908296943231441,0.9292035398230089,0.9285714285714286
政治,0.9513513513513514,0.956989247311828,0.969147005444646
評論,0.9897610921501706,0.9965635738831616,0.9965635738831616
財經,0.0,0.1875,0.2631578947368421
風生活,0.9573770491803278,0.9630238290879212,0.964550700741962
accuracy,0.93,0.9391666666666668,0.9425
macro avg,0.5395998500410318,0.5839447124809046,0.6007598986918361
weighted avg,0.9198008743730036,0.9325519654902572,0.9389436436228168
