,precision,recall,f1-score,support
中港澳,0.0,0.0,0.0,2.0
公共政策,0.0,0.0,0.0,2.0
品味生活,0.5714285714285714,0.4,0.47058823529411764,10.0
國內,0.5862068965517241,0.6071428571428571,0.5964912280701754,28.0
國際,0.8571428571428571,0.9272727272727272,0.8908296943231441,110.0
政治,0.9361702127659575,0.967032967032967,0.9513513513513514,273.0
評論,0.9797297297297297,1.0,0.9897610921501706,145.0
財經,0.0,0.0,0.0,23.0
風生活,0.9526916802610114,0.9621087314662273,0.9573770491803278,607.0
accuracy,0.93,0.93,0.93,0.93
macro avg,0.542596660875539,0.5403952536571976,0.5395998500410318,1200.0
weighted avg,0.9102774349314996,0.93,0.9198008743730037,1200.0
